SaleID,Date,CustomerID,Product,Category,Quantity,UnitPrice,Discount,TotalAmount,GST(18%),TotalWithGST,PaymentMethod,City,Country,Region,SalesRep,EmployeeID
202503-00001,3/10/2025,CUST-8344,Office Chair,Furniture,2,359.24,0,718.48,129.33,847.81,Credit Card,Berlin,Germany,EMEA,Olivia Martin,E076
202503-00002,3/13/2025,CUST-3748,Bluetooth Speaker,Audio,4,186.4,0,745.6,134.21,879.81,Net Banking,Hyderabad,India,APAC,Arun Kumar,E062
202503-00003,3/1/2025,CUST-7249,Noise-Canceling Headphones,Audio,1,310.78,0,310.78,55.94,366.72,Cash on Delivery,Singapore,Singapore,APAC,Rohit Iyer,E095
202503-00004,3/18/2025,CUST-3878,27" Monitor,Electronics,4,1007.75,0.15,3426.35,616.74,4043.09,Cash on Delivery,Toronto,Canada,North America,Chris Johnson,E053
202503-00005,3/11/2025,CUST-3238,Standing Desk,Furniture,4,292.23,0,1168.92,210.41,1379.33,Credit Card,Mumbai,India,APAC,Mei Lin,E079
202503-00006,3/16/2025,CUST-7628,Printer,Office,4,474.92,0,1899.68,341.94,2241.62,UPI,Munich,Germany,EMEA,Olivia Martin,E079
202503-00007,3/10/2025,CUST-2167,Noise-Canceling Headphones,Audio,1,397.21,0.05,377.35,67.92,445.27,Debit Card,Sydney,Australia,APAC,Mei Lin,E069
202503-00008,3/25/2025,CUST-6711,Smartphone 128GB,Electronics,4,1324.71,0,5298.84,953.79,6252.63,Wallet,Munich,Germany,EMEA,Olivia Martin,E085
202503-00009,3/24/2025,CUST-5043,Mechanical Keyboard,Accessories,4,14.83,0,59.32,10.68,70,Wallet,Mumbai,India,APAC,Rohit Iyer,E066
202503-00010,3/9/2025,CUST-8462,Office Chair,Furniture,2,343.77,0,687.54,123.76,811.3,Wallet,Pune,India,APAC,Asha Verma,E040
202503-00011,3/4/2025,CUST-2512,Office Chair,Furniture,4,469.95,0,1879.8,338.36,2218.16,Cash on Delivery,Kolkata,India,APAC,Arun Kumar,E078
202503-00012,3/6/2025,CUST-7993,27" Monitor,Electronics,3,1076.2,0.15,2744.31,493.98,3238.29,Cash on Delivery,London,UK,EMEA,Olivia Martin,E099
202503-00013,3/25/2025,CUST-2456,Laptop 15",Electronics,5,1586.88,0.05,7537.68,1356.78,8894.46,UPI,Kolkata,India,APAC,Arun Kumar,E057
