SaleID,Date,CustomerID,Product,Category,Quantity,UnitPrice,Discount,TotalAmount,GST(18%),TotalWithGST,PaymentMethod,City,Country,Region,SalesRep,EmployeeID
202501-00001,1/21/2025,CUST-2824,Laptop 13",Electronics,3,603.05,0,1809.15,325.65,2134.8,Wallet,Singapore,Singapore,APAC,Asha Verma,E042
202501-00002,1/19/2025,CUST-7912,Laptop 13",Electronics,1,323.34,0,323.34,58.2,381.54,Cash on Delivery,Kolkata,India,APAC,Arun Kumar,E095
202501-00003,1/8/2025,CUST-8359,Smartwatch,Wearables,3,500.9,0.05,1427.56,256.96,1684.52,Wallet,Sydney,Australia,APAC,Mei Lin,E017
202501-00004,1/9/2025,CUST-3547,Mechanical Keyboard,Accessories,3,24.31,0.1,65.64,11.82,77.46,UPI,San Francisco,USA,North America,Chris Johnson,E012
202501-00005,1/24/2025,CUST-8527,Smartphone 128GB,Electronics,1,1950.26,0.1,1755.23,315.94,2071.17,Wallet,Berlin,Germany,EMEA,Sofia Rossi,E076
202501-00006,1/23/2025,CUST-2139,Laptop 13",Electronics,2,1580.18,0,3160.36,568.86,3729.22,Debit Card,Chennai,India,APAC,Arun Kumar,E094
202501-00007,1/9/2025,CUST-8428,Office Chair,Furniture,3,263.14,0.1,710.48,127.89,838.37,Wallet,Bengaluru,India,APAC,Rohit Iyer,E094
202501-00008,1/18/2025,CUST-5010,Wireless Mouse,Accessories,4,63.12,0,252.48,45.45,297.93,Wallet,Singapore,Singapore,APAC,Rohit Iyer,E069
202501-00009,1/22/2025,CUST-6313,External SSD 1TB,Storage,1,114.97,0.1,103.47,18.62,122.09,Net Banking,San Francisco,USA,North America,Chris Johnson,E076
202501-00010,1/7/2025,CUST-6155,Mechanical Keyboard,Accessories,4,65.39,0,261.56,47.08,308.64,Net Banking,Hyderabad,India,APAC,Mei Lin,E087
202501-00011,1/5/2025,CUST-5040,Standing Desk,Furniture,5,594.3,0,2971.5,534.87,3506.37,Net Banking,Dubai,UAE,EMEA,Olivia Martin,E015
202501-00012,1/12/2025,CUST-4593,Wireless Mouse,Accessories,5,79.09,0,395.45,71.18,466.63,Credit Card,Hyderabad,India,APAC,Rohit Iyer,E036
202501-00013,1/26/2025,CUST-7916,Smartwatch,Wearables,1,280.08,0.15,238.07,42.85,280.92,Cash on Delivery,San Francisco,USA,North America,Chris Johnson,E019
202501-00014,1/22/2025,CUST-2876,Office Chair,Furniture,5,780.77,0,3903.85,702.69,4606.54,UPI,Chennai,India,APAC,Mei Lin,E027
202501-00015,1/14/2025,CUST-3591,Bluetooth Speaker,Audio,1,382.91,0,382.91,68.92,451.83,UPI,Vancouver,Canada,North America,Emily Davis,E014
202501-00016,1/17/2025,CUST-2743,External SSD 1TB,Storage,3,262,0.05,746.7,134.41,881.11,Debit Card,Berlin,Germany,EMEA,Sofia Rossi,E016
202501-00017,1/18/2025,CUST-9689,Printer,Office,1,331.56,0,331.56,59.68,391.24,UPI,London,UK,EMEA,Sofia Rossi,E096
202501-00018,1/2/2025,CUST-4946,Printer,Office,5,477.72,0.15,2030.31,365.46,2395.77,Credit Card,Singapore,Singapore,APAC,Rohit Iyer,E016
202501-00019,1/5/2025,CUST-8787,Smartphone 128GB,Electronics,2,640.35,0,1280.7,230.53,1511.23,Net Banking,Kolkata,India,APAC,Rohit Iyer,E032
202501-00020,1/23/2025,CUST-6107,Noise-Canceling Headphones,Audio,3,192.1,0,576.3,103.73,680.03,Debit Card,New York,USA,North America,Chris Johnson,E027
202501-00021,1/11/2025,CUST-1344,Smartwatch,Wearables,5,199.66,0,998.3,179.69,1177.99,Wallet,Delhi,India,APAC,Rohit Iyer,E054
202501-00022,1/3/2025,CUST-1514,External SSD 1TB,Storage,3,77.01,0.15,196.38,35.35,231.73,Debit Card,Singapore,Singapore,APAC,Rohit Iyer,E064
202501-00023,1/24/2025,CUST-8744,Mechanical Keyboard,Accessories,4,123.05,0,492.2,88.6,580.8,Wallet,Sydney,Australia,APAC,Mei Lin,E081
202501-00024,1/14/2025,CUST-7735,Bluetooth Speaker,Audio,1,279.14,0,279.14,50.25,329.39,Credit Card,Delhi,India,APAC,Arun Kumar,E060
202501-00025,1/24/2025,CUST-6559,Webcam HD,Accessories,1,44.81,0.15,38.09,6.86,44.95,Debit Card,Sydney,Australia,APAC,Rohit Iyer,E019
202501-00026,1/9/2025,CUST-8579,Mechanical Keyboard,Accessories,1,72.04,0,72.04,12.97,85.01,Cash on Delivery,Chennai,India,APAC,Asha Verma,E070
202501-00027,1/21/2025,CUST-9856,External SSD 1TB,Storage,1,292.56,0,292.56,52.66,345.22,Debit Card,Pune,India,APAC,Arun Kumar,E052
202501-00028,1/16/2025,CUST-8886,Mechanical Keyboard,Accessories,4,136.34,0,545.36,98.16,643.52,Net Banking,San Francisco,USA,North America,Sarah Miller,E058
202501-00029,1/10/2025,CUST-7930,Standing Desk,Furniture,5,702.45,0.05,3336.64,600.6,3937.24,UPI,Kolkata,India,APAC,Asha Verma,E086
202501-00030,1/19/2025,CUST-9883,Laptop 13",Electronics,3,255.76,0.05,728.92,131.21,860.13,Credit Card,Vancouver,Canada,North America,Chris Johnson,E100
202501-00031,1/28/2025,CUST-4044,Laptop 15",Electronics,5,275.73,0,1378.65,248.16,1626.81,Net Banking,Chennai,India,APAC,Rohit Iyer,E049
202501-00032,1/19/2025,CUST-1651,Smartwatch,Wearables,1,298,0.1,268.2,48.28,316.48,UPI,Kolkata,India,APAC,Mei Lin,E064
202501-00033,1/8/2025,CUST-5351,Noise-Canceling Headphones,Audio,2,278.53,0.1,501.35,90.24,591.59,Credit Card,Mumbai,India,APAC,Arun Kumar,E027
202501-00034,1/20/2025,CUST-2638,Laptop 15",Electronics,5,544.34,0.1,2449.53,440.92,2890.45,Credit Card,New York,USA,North America,Michael Brown,E071
202501-00035,1/10/2025,CUST-3584,Bluetooth Speaker,Audio,5,290.31,0,1451.55,261.28,1712.83,Wallet,Vancouver,Canada,North America,Chris Johnson,E038
202501-00036,1/22/2025,CUST-5905,Printer,Office,1,474.35,0,474.35,85.38,559.73,Credit Card,Singapore,Singapore,APAC,Rohit Iyer,E098
202501-00037,1/9/2025,CUST-5616,Smartwatch,Wearables,2,453.16,0.1,815.69,146.82,962.51,Cash on Delivery,Toronto,Canada,North America,Michael Brown,E084
202501-00038,1/29/2025,CUST-1832,Laptop 15",Electronics,4,1684.29,0.1,6063.44,1091.42,7154.86,Debit Card,San Francisco,USA,North America,Emily Davis,E001
202501-00039,1/24/2025,CUST-8239,Smartphone 128GB,Electronics,4,1187.68,0.05,4513.18,812.37,5325.55,Cash on Delivery,Delhi,India,APAC,Mei Lin,E065
202501-00040,1/19/2025,CUST-3426,Noise-Canceling Headphones,Audio,2,45.48,0,90.96,16.37,107.33,UPI,Kolkata,India,APAC,Rohit Iyer,E021
202501-00041,1/22/2025,CUST-2684,USB-C Hub,Accessories,5,133.78,0.05,635.45,114.38,749.83,Debit Card,Pune,India,APAC,Rohit Iyer,E098
202501-00042,1/29/2025,CUST-7755,Laptop 13",Electronics,2,1512.64,0.15,2571.49,462.87,3034.36,Wallet,New York,USA,North America,Michael Brown,E072
202501-00043,1/6/2025,CUST-2771,Noise-Canceling Headphones,Audio,1,347.68,0.15,295.53,53.2,348.73,UPI,London,UK,EMEA,Sofia Rossi,E067
202501-00044,1/8/2025,CUST-1387,Office Chair,Furniture,2,470.65,0,941.3,169.43,1110.73,UPI,Berlin,Germany,EMEA,Olivia Martin,E067
202501-00045,1/22/2025,CUST-9785,USB-C Hub,Accessories,1,26.15,0,26.15,4.71,30.86,Debit Card,Dubai,UAE,EMEA,Liam Schmidt,E012
202501-00046,1/2/2025,CUST-2776,Smartwatch,Wearables,4,259.76,0,1039.04,187.03,1226.07,Net Banking,Vancouver,Canada,North America,Chris Johnson,E005
